Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Protocol,Packet Type,Browser Name,54.0000,0.0473,0.0288,0.0026,0.0269,0.0442,0.0574,0.1231
Protocol,Packet Type,Browser Version,396.0000,0.1917,0.1696,0.0000,0.0882,0.1550,0.2229,1.0000
Protocol,Packet Type,Browser Minor,606.0000,0.2537,0.1450,0.0000,0.1429,0.2353,0.3529,1.0000
Protocol,Packet Type,Browser Patch,726.0000,0.2655,0.1544,0.0000,0.1538,0.2390,0.3529,1.0000
Protocol,Packet Type,OS Version,132.0000,0.0843,0.0859,0.0000,0.0354,0.0641,0.0959,0.5714
Protocol,Packet Type,OS Version Minor,84.0000,0.0724,0.0485,0.0045,0.0349,0.0588,0.0960,0.2024
Protocol,Packet Type,OS Version Patch,66.0000,0.0703,0.0472,0.0027,0.0344,0.0614,0.0944,0.2556
Protocol,Packet Type,Device Model,48.0000,0.0920,0.1171,0.0038,0.0252,0.0500,0.1202,0.5000
Protocol,Packet Type,Device Type,48.0000,0.0920,0.1171,0.0038,0.0252,0.0500,0.1202,0.5000
Protocol,Packet Type,Scale Packet Length,8537.0000,0.4877,0.2719,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Traffic Type,Browser Name,81.0000,0.0571,0.0346,0.0059,0.0326,0.0531,0.0700,0.1988
Protocol,Traffic Type,Browser Version,591.0000,0.2279,0.1900,0.0000,0.1027,0.1905,0.2778,1.0000
Protocol,Traffic Type,Browser Minor,909.0000,0.3204,0.1881,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Traffic Type,Browser Patch,1089.0000,0.3244,0.1902,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Traffic Type,OS Name,45.0000,0.0377,0.0218,0.0057,0.0216,0.0345,0.0539,0.0861
Protocol,Traffic Type,OS Version,198.0000,0.1086,0.1066,0.0067,0.0504,0.0832,0.1217,0.8333
Protocol,Traffic Type,OS Version Minor,126.0000,0.0933,0.0658,0.0015,0.0428,0.0789,0.1340,0.2917
Protocol,Traffic Type,OS Version Patch,99.0000,0.0959,0.0568,0.0068,0.0539,0.0845,0.1370,0.2288
Protocol,Traffic Type,Device Brand,36.0000,0.1534,0.2498,0.0039,0.0202,0.0356,0.0935,1.0000
Protocol,Traffic Type,Device Model,72.0000,0.1247,0.1804,0.0000,0.0396,0.0620,0.1172,1.0000
Protocol,Traffic Type,Device Type,72.0000,0.1247,0.1804,0.0000,0.0396,0.0620,0.1172,1.0000
Protocol,Malware Indicators,Browser Name,54.0000,0.0465,0.0306,0.0133,0.0253,0.0347,0.0587,0.1484
Protocol,Malware Indicators,Browser Version,396.0000,0.1946,0.1702,0.0000,0.0909,0.1562,0.2333,1.0000
Protocol,Malware Indicators,Browser Minor,606.0000,0.2569,0.1448,0.0000,0.1500,0.2500,0.3333,1.0000
Protocol,Malware Indicators,Browser Patch,726.0000,0.2684,0.1566,0.0000,0.1538,0.2367,0.3750,0.9091
Protocol,Malware Indicators,OS Version,132.0000,0.0879,0.0871,0.0064,0.0391,0.0622,0.1056,0.6250
Protocol,Malware Indicators,OS Version Minor,84.0000,0.0722,0.0443,0.0031,0.0400,0.0645,0.1017,0.1869
Protocol,Malware Indicators,OS Version Patch,66.0000,0.0700,0.0499,0.0035,0.0400,0.0588,0.0968,0.2842
Protocol,Malware Indicators,Device Model,48.0000,0.0938,0.1240,0.0038,0.0238,0.0525,0.1015,0.7000
Protocol,Malware Indicators,Device Type,48.0000,0.0938,0.1240,0.0038,0.0238,0.0525,0.1015,0.7000
Protocol,Malware Indicators,Scale Packet Length,8531.0000,0.4849,0.2719,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Alerts/Warnings,Browser Name,54.0000,0.0494,0.0304,0.0000,0.0310,0.0416,0.0629,0.1226
Protocol,Alerts/Warnings,Browser Version,394.0000,0.1894,0.1557,0.0000,0.0930,0.1613,0.2333,1.0000
