Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Protocol,Packet Type,Scale Packet Length,8537.0000,0.4877,0.2719,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Malware Indicators,Scale Packet Length,8531.0000,0.4849,0.2719,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Alerts/Warnings,Scale Packet Length,8541.0000,0.4900,0.2714,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Attack Signature,Scale Packet Length,8537.0000,0.4883,0.2705,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Action Taken,Scale Packet Length,12318.0000,0.5967,0.2978,0.0000,0.4000,0.6000,0.8000,1.0000
Protocol,Network Segment,Packet Bin,27.0000,0.0294,0.0125,0.0052,0.0227,0.0288,0.0377,0.0490
Protocol,Firewall Logs,Scale Packet Length,8528.0000,0.4882,0.2711,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,IDS/IPS Alerts,Scale Packet Length,8553.0000,0.4909,0.2725,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Log Source,Scale Packet Length,8530.0000,0.4855,0.2731,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Packet Bin,Scale Packet Length,4311.0000,0.3309,0.1843,0.0000,0.2000,0.3077,0.4286,1.0000
Protocol,Scale Packet Length,Global Source IP,4482.0000,0.3565,0.2207,0.0000,0.2000,0.3333,0.4545,1.0000
Protocol,Scale Packet Length,Global Destination IP,4480.0000,0.3567,0.2210,0.0000,0.2000,0.3333,0.4545,1.0000
Protocol,Scale Packet Length,Is Proxy,8525.0000,0.4922,0.2703,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Traffic Type,Scale Packet Length,8545.0000,0.4888,0.2717,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Malware Indicators,Scale Packet Length,5742.0000,0.3876,0.2204,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Type,Alerts/Warnings,Scale Packet Length,5742.0000,0.3921,0.2232,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Type,Attack Signature,Packet Bin,12.0000,0.0246,0.0102,0.0054,0.0200,0.0249,0.0309,0.0406
Packet Type,Attack Signature,Scale Packet Length,5744.0000,0.3906,0.2234,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Type,Action Taken,Scale Packet Length,8524.0000,0.4925,0.2709,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Severity Level,Scale Packet Length,8550.0000,0.4908,0.2698,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Network Segment,Scale Packet Length,8536.0000,0.4900,0.2727,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Firewall Logs,Scale Packet Length,5739.0000,0.3857,0.2210,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Type,IDS/IPS Alerts,Scale Packet Length,5742.0000,0.3932,0.2248,0.0000,0.2222,0.3636,0.5385,1.0000
Packet Type,Log Source,Scale Packet Length,5742.0000,0.3890,0.2201,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Type,Packet Bin,Scale Packet Length,2874.0000,0.2661,0.1465,0.0000,0.1579,0.2500,0.3571,1.0000
Packet Type,Scale Packet Length,Global Source IP,3045.0000,0.3068,0.2186,0.0000,0.1667,0.2500,0.3846,1.0000
Packet Type,Scale Packet Length,Global Destination IP,3043.0000,0.3064,0.2189,0.0000,0.1667,0.2500,0.3846,1.0000
Packet Type,Scale Packet Length,Is Proxy,5741.0000,0.3890,0.2233,0.0000,0.2222,0.3333,0.5000,1.0000
Traffic Type,Malware Indicators,Scale Packet Length,8549.0000,0.4880,0.2699,0.0000,0.2500,0.5000,0.6667,1.0000
