Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Protocol,Packet Type,Month,72.0000,0.0410,0.0229,0.0017,0.0270,0.0356,0.0563,0.1186
Protocol,Packet Type,Day,186.0000,0.0717,0.0361,0.0088,0.0455,0.0651,0.0932,0.1901
Protocol,Packet Type,Hour,144.0000,0.0560,0.0321,0.0073,0.0307,0.0514,0.0789,0.1691
Protocol,Packet Type,Minute,360.0000,0.0900,0.0461,0.0000,0.0521,0.0858,0.1191,0.2400
Protocol,Packet Type,Second,360.0000,0.0926,0.0476,0.0000,0.0568,0.0893,0.1205,0.2500
Protocol,Packet Type,DayOfWeek,42.0000,0.0316,0.0176,0.0031,0.0207,0.0312,0.0416,0.0851
Protocol,Packet Type,Browser Name,54.0000,0.0473,0.0288,0.0026,0.0269,0.0442,0.0574,0.1231
Protocol,Packet Type,Browser Version,396.0000,0.1917,0.1696,0.0000,0.0882,0.1550,0.2229,1.0000
Protocol,Packet Type,Browser Minor,606.0000,0.2537,0.1450,0.0000,0.1429,0.2353,0.3529,1.0000
Protocol,Packet Type,Browser Patch,726.0000,0.2655,0.1544,0.0000,0.1538,0.2390,0.3529,1.0000
Protocol,Packet Type,OS Version,132.0000,0.0843,0.0859,0.0000,0.0354,0.0641,0.0959,0.5714
Protocol,Packet Type,OS Version Minor,84.0000,0.0724,0.0485,0.0045,0.0349,0.0588,0.0960,0.2024
Protocol,Packet Type,OS Version Patch,66.0000,0.0703,0.0472,0.0027,0.0344,0.0614,0.0944,0.2556
Protocol,Packet Type,Device Model,48.0000,0.0920,0.1171,0.0038,0.0252,0.0500,0.1202,0.5000
Protocol,Packet Type,Device Type,48.0000,0.0920,0.1171,0.0038,0.0252,0.0500,0.1202,0.5000
Protocol,Packet Type,Scale Packet Length,8537.0000,0.4877,0.2719,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Traffic Type,Month,108.0000,0.0513,0.0289,0.0035,0.0310,0.0461,0.0680,0.1402
Protocol,Traffic Type,Day,279.0000,0.0818,0.0456,0.0063,0.0471,0.0745,0.1097,0.2414
Protocol,Traffic Type,Hour,216.0000,0.0751,0.0371,0.0051,0.0469,0.0735,0.0961,0.1889
Protocol,Traffic Type,Minute,540.0000,0.1108,0.0586,0.0114,0.0649,0.1024,0.1488,0.3077
